timestamp_ms,datetime,state,reason
1764702250937,"2025-12-02 16:04:10","Em trajeto","IMU recuperada"
1764702251947,"2025-12-02 16:04:11","Falha nos sensores","Sem dados de IMU por > 1s"
1764702254098,"2025-12-02 16:04:14","Em trajeto","IMU recuperada"
1764702255103,"2025-12-02 16:04:15","Falha nos sensores","Sem dados de IMU por > 1s"
1764702257212,"2025-12-02 16:04:17","Em trajeto","IMU recuperada"
1764702258216,"2025-12-02 16:04:18","Falha nos sensores","Sem dados de IMU por > 1s"
1764702260406,"2025-12-02 16:04:20","Em trajeto","IMU recuperada"
1764702261412,"2025-12-02 16:04:21","Falha nos sensores","Sem dados de IMU por > 1s"
1764702263666,"2025-12-02 16:04:23","Em trajeto","IMU recuperada"
1764702264674,"2025-12-02 16:04:24","Falha nos sensores","Sem dados de IMU por > 1s"
1764702266867,"2025-12-02 16:04:26","Em trajeto","IMU recuperada"
1764702267873,"2025-12-02 16:04:27","Falha nos sensores","Sem dados de IMU por > 1s"
1764702270411,"2025-12-02 16:04:30","Em trajeto","IMU recuperada"
1764702271417,"2025-12-02 16:04:31","Falha nos sensores","Sem dados de IMU por > 1s"
1764702273994,"2025-12-02 16:04:33","Em trajeto","IMU recuperada"
1764702275000,"2025-12-02 16:04:35","Falha nos sensores","Sem dados de IMU por > 1s"
1764702283972,"2025-12-02 16:04:43","Em trajeto","IMU recuperada"
1764702284978,"2025-12-02 16:04:44","Falha nos sensores","Sem dados de IMU por > 1s"
1764702307951,"2025-12-02 16:05:07","Em trajeto","IMU recuperada"
1764702312743,"2025-12-02 16:05:12","Falha nos sensores","Sem dados de IMU por > 1s"
1764702314373,"2025-12-02 16:05:14","Em trajeto","IMU recuperada"
1764702315382,"2025-12-02 16:05:15","Falha nos sensores","Sem dados de IMU por > 1s"
1764702317191,"2025-12-02 16:05:17","Em trajeto","IMU recuperada"
1764702318196,"2025-12-02 16:05:18","Falha nos sensores","Sem dados de IMU por > 1s"
1764702322527,"2025-12-02 16:05:22","Em trajeto","IMU recuperada"
1764702323535,"2025-12-02 16:05:23","Falha nos sensores","Sem dados de IMU por > 1s"
1764702325390,"2025-12-02 16:05:25","Em trajeto","IMU recuperada"
1764702326395,"2025-12-02 16:05:26","Falha nos sensores","Sem dados de IMU por > 1s"
1764702326898,"2025-12-02 16:05:26","Em trajeto","IMU recuperada"
1764702328207,"2025-12-02 16:05:28","Falha nos sensores","Sem dados de IMU por > 1s"
1764702328589,"2025-12-02 16:05:28","Em trajeto","IMU recuperada"
1764702329594,"2025-12-02 16:05:29","Falha nos sensores","Sem dados de IMU por > 1s"
1764702330438,"2025-12-02 16:05:30","Em trajeto","IMU recuperada"
1764702331446,"2025-12-02 16:05:31","Falha nos sensores","Sem dados de IMU por > 1s"
1764702333178,"2025-12-02 16:05:33","Em trajeto","IMU recuperada"
1764702334184,"2025-12-02 16:05:34","Falha nos sensores","Sem dados de IMU por > 1s"
1764702336555,"2025-12-02 16:05:36","Em trajeto","IMU recuperada"
1764702337564,"2025-12-02 16:05:37","Falha nos sensores","Sem dados de IMU por > 1s"
1764702338913,"2025-12-02 16:05:38","Em trajeto","IMU recuperada"
1764702339920,"2025-12-02 16:05:39","Falha nos sensores","Sem dados de IMU por > 1s"
1764702341370,"2025-12-02 16:05:41","Em trajeto","IMU recuperada"
1764702343301,"2025-12-02 16:05:43","Falha nos sensores","Sem dados de IMU por > 1s"
1764702343422,"2025-12-02 16:05:43","Em trajeto","IMU recuperada"
1764702344427,"2025-12-02 16:05:44","Falha nos sensores","Sem dados de IMU por > 1s"
1764702345593,"2025-12-02 16:05:45","Em trajeto","IMU recuperada"
1764702346599,"2025-12-02 16:05:46","Falha nos sensores","Sem dados de IMU por > 1s"
1764702349156,"2025-12-02 16:05:49","Em trajeto","IMU recuperada"
1764702350161,"2025-12-02 16:05:50","Falha nos sensores","Sem dados de IMU por > 1s"
1764702391675,"2025-12-02 16:06:31","Em trajeto","IMU recuperada"
1764702392680,"2025-12-02 16:06:32","Falha nos sensores","Sem dados de IMU por > 1s"
